birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1961,"Mon, 19 Sep 2016 21:22:18 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,759,"$250,000 or greater",Married,759,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1962,"Tue, 27 Feb 2018 15:52:26 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,1568,"$100,000 through $149,999",Married,1568,News story,White/European origin,United States,PRE
1962,"Mon, 31 Jul 2017 10:04:41 -0500",Prefer not to answer,Prefer not to answer,Prefer not to answer,Female,1301,Prefer not to answer,Prefer not to answer,1301,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1962,"Tue, 05 Jun 2018 06:36:17 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Male,1697,"Less than $5,000",Single,1697,Link from education site,White/European origin,United Kingdom,PRE
1962,"Thu, 15 Mar 2018 17:24:25 -0500",Master's Degree,Other,Not Hispanic or Latino,Male,1600,Don't know,Married,1600,Facebook post,White/European origin,United States,PRE
1962,"Sat, 12 May 2018 02:30:17 -0500",Prefer not to answer,Prefer not to answer,Prefer not to answer,Female,1677,Prefer not to answer,Prefer not to answer,1677,Craigslist Ad,Prefer not to answer,United States,PRE
1962,"Tue, 09 Oct 2018 16:04:06 -0500",Master's Degree,Working full-time,Unknown,Female,1871,Prefer not to answer,Single,1871,News story,White/European origin,United Kingdom,PRE
1962,"Wed, 19 Oct 2016 06:16:59 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,851,"$100,000 through $149,999",Married,851,News story,White/European origin,United States,PRE
1962,"Mon, 22 Oct 2018 13:14:43 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1894,"$100,000 through $149,999",Divorced,1894,Other,White/European origin,United States,PRE
1962,"Thu, 07 Sep 2017 01:19:04 -0500",Some College,Other,Not Hispanic or Latino,Female,1337,"$25,000 through $34,999",Single,1337,Planned search for this topic in particular,White/European origin,United States,PRE
1962,"Fri, 16 Sep 2016 08:42:44 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,650,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",650,News story,White/European origin,United States,PRE
1962,"Fri, 16 Sep 2016 13:22:22 -0500",Ph.D.,Unemployed or laid off,Not Hispanic or Latino,Female,676,"$150,000 through $199,999",Married,676,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1962,"Sun, 18 Sep 2016 20:01:48 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,734,"$75,000 through $99,999",Married,734,News story,White/European origin,United States,PRE
1962,"Fri, 23 Sep 2016 09:13:19 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,778,"$50,000 through $74,999",Married,778,Link from education site,Other or Unknown,United States,PRE
1963,"Mon, 03 Apr 2017 15:17:49 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1167,"$150,000 through $199,999",Married,1167,Recommendation of employer,White/European origin,Australia,PRE
1963,"Wed, 12 Apr 2017 13:46:35 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,1177,"$35,000 through $49,999",Divorced,1177,Link from education site,White/European origin,United States,PRE
1963,"Wed, 24 Aug 2016 09:51:06 -0500",Ph.D.,Working full-time,Hispanic or Latino,Female,570,"$150,000 through $199,999",Married,570,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1963,"Fri, 31 Aug 2018 17:51:54 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1798,Prefer not to answer,Married,1798,Link from education site,White/European origin,United States,PRE
1963,"Sun, 04 Dec 2016 08:56:25 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,987,"$75,000 through $99,999",Married,987,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,Canada,PRE
1963,"Thu, 06 Dec 2018 22:17:24 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1941,"$100,000 through $149,999",Married,1941,News story,White/European origin,United States,PRE
1963,"Tue, 27 Feb 2018 20:14:45 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,1567,"$75,000 through $99,999",Divorced,1567,Planned search for information related to this topic,White/European origin,United States,PRE
1963,"Mon, 30 Jan 2017 07:29:16 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1089,"$250,000 or greater",Married,1089,Planned search for information related to this topic,White/European origin,United States,PRE
1963,"Mon, 16 May 2016 18:37:25 -0500",Bachelor's Degree,Other,Not Hispanic or Latino,Female,8,"$100,000 through $149,999",Married,8,Planned search for this topic in particular,White/European origin,United States,PRE
1963,"Mon, 05 Nov 2018 12:51:29 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1911,"$50,000 through $74,999",Divorced,1911,Facebook post,White/European origin,United States,PRE
1963,"Wed, 19 Oct 2016 21:11:25 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,889,"$75,000 through $99,999",Married,889,News story,White/European origin,United States,PRE
1963,"Thu, 20 Oct 2016 08:54:44 -0500",Some Graduate School,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,900,"$50,000 through $74,999",,900,News story,White/European origin,United States,PRE
1963,"Thu, 20 Oct 2016 19:49:42 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,920,"$250,000 or greater",Married,920,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1963,"Sun, 23 Oct 2016 04:37:59 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,934,"$150,000 through $199,999",Single,934,Just surfing the web,White/European origin,United Kingdom,PRE
1963,"Sun, 29 Oct 2017 11:55:18 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Female,1403,"$75,000 through $99,999",Married,1403,Other,White/European origin,United States,PRE
1963,"Fri, 16 Sep 2016 07:35:25 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,644,"$50,000 through $74,999",Married,644,News story,White/European origin,United States,PRE
1963,"Fri, 16 Sep 2016 09:22:36 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,655,Prefer not to answer,Divorced,655,News story,White/European origin,United States,PRE
1964,"Mon, 20 Aug 2018 18:37:32 -0500",Some Graduate School,Retired,Not Hispanic or Latino,Female,1759,"$250,000 or greater",Married,1759,News story,White/European origin,United States,PRE
1964,"Thu, 25 Aug 2016 11:49:59 -0500",Some High School,Other,Not Hispanic or Latino,Female,589,"$5,000 through $11,999",Widow/widower,589,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1964,"Thu, 30 Aug 2018 12:28:16 -0500",Associate's Degree,Working full-time,Prefer not to answer,Female,1786,Prefer not to answer,Married,1786,Advertisement from other sources,White/European origin,United States,PRE
1964,"Tue, 26 Dec 2017 02:30:13 -0500",Associate's Degree,Unemployed or laid off,Prefer not to answer,Prefer not to answer,1461,Prefer not to answer,Separated,1461,Just surfing the web,Prefer not to answer,United States,PRE
1964,"Thu, 08 Feb 2018 12:54:59 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1530,"$75,000 through $99,999",Single,1530,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1964,"Thu, 08 Feb 2018 16:16:04 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1535,"$100,000 through $149,999",Married,1535,Advertisement from other sources,White/European origin,United States,PRE
1964,"Tue, 27 Feb 2018 06:19:23 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1562,Prefer not to answer,Married,1562,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Australia,PRE
1964,"Fri, 18 Jan 2019 03:29:06 -0500",Some College,Other,Not Hispanic or Latino,Female,1969,"$35,000 through $49,999",Widow/widower,1969,Other,White/European origin,United States,PRE
1964,"Wed, 04 Jul 2018 21:44:27 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,1715,"$75,000 through $99,999",Married,1715,Link from education site,Other or Unknown,United States,PRE
1964,"Thu, 27 Jul 2017 17:01:27 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1279,"$100,000 through $149,999",Married,1279,Facebook post,White/European origin,United States,PRE
1964,"Thu, 27 Jul 2017 18:24:47 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Male,1280,"$16,000 through $24,999",Divorced,1280,Facebook post,White/European origin,United States,PRE
1964,"Fri, 21 Oct 2016 20:02:23 -0500",Master's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,929,"$100,000 through $149,999",Separated,929,Link from education site,White/European origin,United States,PRE
1964,"Wed, 26 Oct 2016 15:01:22 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,951,"$35,000 through $49,999",Divorced,951,Planned search for this topic in particular,White/European origin,United States,PRE
1964,"Fri, 16 Sep 2016 17:11:45 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,687,"$75,000 through $99,999",Married,687,News story,White/European origin,United States,PRE
1964,"Thu, 20 Sep 2018 12:08:15 -0500",Master's Degree,Working full-time,Prefer not to answer,Male,1844,Prefer not to answer,Married,1844,Link from education site,Prefer not to answer,United States,PRE
1965,"Tue, 02 Aug 2016 15:04:57 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,532,"$100,000 through $149,999",Married,532,Planned search for information related to this topic,White/European origin,United States,PRE
1965,"Fri, 02 Dec 2016 19:05:59 -0500",Master's Degree,Working full-time,Prefer not to answer,Female,1039,"$75,000 through $99,999",Married,1039,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1965,"Fri, 09 Dec 2016 09:15:08 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1045,"$100,000 through $149,999",Married,1045,Link from education site,White/European origin,United States,PRE
1965,"Tue, 11 Dec 2018 14:46:33 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1948,"$100,000 through $149,999",Married,1948,Link from education site,White/European origin,United States,PRE
1965,"Sun, 31 Dec 2017 10:14:05 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Female,1466,"$50,000 through $74,999",Divorced,1466,Facebook post,White/European origin,United States,PRE
1965,"Mon, 31 Jul 2017 16:07:58 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1302,"$200,000 through $249,999",Married,1302,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1965,"Sun, 04 Mar 2018 07:52:20 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1581,"$25,000 through $34,999",Divorced,1581,Link from education site,Other or Unknown,Egypt,PRE
1965,"Mon, 16 May 2016 16:18:18 -0500",Some College,Prefer not to answer,Not Hispanic or Latino,Male,19,Don't know,Single,19,Just surfing the web,White/European origin,United States,PRE
1965,"Tue, 01 Nov 2016 08:56:31 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,970,"$200,000 through $249,999",Married,970,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1965,"Thu, 13 Oct 2016 23:20:58 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,839,"$25,000 through $34,999",Married,839,Craigslist Ad,White/European origin,United States,PRE
1965,"Wed, 17 Oct 2018 13:25:20 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1886,"$200,000 through $249,999",Married,1886,Other,White/European origin,United States,PRE
1965,"Thu, 20 Oct 2016 07:02:23 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,892,"$150,000 through $199,999",Married,892,Link from education site,White/European origin,United States,PRE
1965,"Thu, 20 Oct 2016 10:40:53 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,908,"$100,000 through $149,999",Married,908,News story,Black/African origin,United States,PRE
1965,"Fri, 16 Sep 2016 07:39:05 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,645,"$200,000 through $249,999",Married,645,News story,White/European origin,United States,PRE
1965,"Fri, 16 Sep 2016 09:41:22 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Female,659,"$75,000 through $99,999",Married,659,News story,Other or Unknown,Canada,PRE
1965,"Fri, 16 Sep 2016 15:05:33 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,651,Prefer not to answer,Divorced,651,News story,White/European origin,United States,PRE
1965,"Fri, 16 Sep 2016 23:10:38 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,701,"$25,000 through $34,999",Single,701,Facebook post,White/European origin,United States,PRE
1965,"Mon, 25 Sep 2017 19:38:12 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,1363,"$100,000 through $149,999",Married,1363,Recommendation of employer,White/European origin,United States,PRE
1966,"Fri, 04 Aug 2017 07:38:07 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Male,1315,"$50,000 through $74,999",Married,1315,Link from education site,White/European origin,United Kingdom,PRE
1966,"Sun, 06 Aug 2017 08:59:18 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,1318,"$16,000 through $24,999",Married,1318,Facebook post,White/European origin,United States,PRE
1966,"Thu, 17 Aug 2017 15:43:39 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1325,"Less than $5,000",Married,1325,Planned search for information related to this topic,White/European origin,Ukraine,PRE
1966,"Thu, 30 Aug 2018 21:41:19 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1793,"$25,000 through $34,999",Separated,1793,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1966,"Tue, 21 Feb 2017 16:54:14 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1119,"$100,000 through $149,999",Married,1119,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1966,"Thu, 05 Jul 2018 10:17:45 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1716,"$100,000 through $149,999",Married,1716,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1966,"Mon, 11 Jul 2016 10:29:59 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,507,"$35,000 through $49,999",Single,507,Craigslist Ad,White/European origin,United States,PRE
